City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
211,Todos Santos,MX,67.66,clear sky,23.45,-110.2167,Hotel Casa Tota
216,San Carlos De Bariloche,AR,54.05,clear sky,-41.1456,-71.3082,Kronos
218,Marsaxlokk,MT,61.41,broken clouds,35.8419,14.5431,Harbour Lodge
219,Hasaki,JP,46.29,scattered clouds,35.7333,140.8333,大新旅館
224,Ballina,AU,88.02,clear sky,-28.8667,153.5667,Ballina Beach Resort
227,Vila Franca Do Campo,PT,61.21,overcast clouds,37.7167,-25.4333,Vinha d'Areia Beach Hotel
232,Camocim,BR,78.51,few clouds,-2.9022,-40.8411,Hotel Camocim
236,Nueva Loja,EC,70.41,light rain,0.0847,-76.8828,Castillo Real
239,Mitsamiouli,KM,80.73,broken clouds,-11.3847,43.2844,Hotel le Paradis
240,Sur,OM,70.36,clear sky,22.5667,59.5289,Sur Hotel
242,Klaksvik,FO,41.92,scattered clouds,62.2266,-6.589,Hotel Klaksvik
243,Mpika,ZM,59.54,overcast clouds,-11.8343,31.4529,Melody Lodge
245,Esperance,AU,68.54,scattered clouds,-33.8667,121.9,Hospitality
247,Locri,IT,53.31,broken clouds,38.2414,16.2623,Grand Hotel President
249,Lorengau,PG,85.71,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
251,Lata,PT,37.92,clear sky,40.1629,-8.3327,Residencial Botânico
252,Avarua,CK,77.41,overcast clouds,-21.2078,-159.775,Paradise Inn
253,Quatre Cocos,MU,77.11,broken clouds,-20.2078,57.7625,Horisun
254,Asosa,ET,63.41,few clouds,10.0667,34.5333,Africa Hotel
257,Antofagasta,CL,65.93,few clouds,-23.65,-70.4,Hotel Colón
258,Soyo,AO,77.85,moderate rain,-6.1349,12.3689,Hotel Maria Teres
259,Plettenberg Bay,ZA,67.77,overcast clouds,-34.0527,23.3716,Milkwood Manor
261,Ponta Do Sol,PT,65.03,scattered clouds,32.6667,-17.1,Estalagem Ponta do Sol
262,Port Moresby,PG,85.19,overcast clouds,-9.4431,147.1797,The Sanctuary Hotel and Spa
264,Te Anau,NZ,73.8,overcast clouds,-45.4167,167.7167,Lakeside Motels & Apartments
267,Trujillo,PE,68.18,overcast clouds,-8.116,-79.03,Hostal Ayacucho
268,Ixtapa,MX,66.51,clear sky,20.7,-105.2,Ma. Cristina
269,Sechura,PE,69.12,broken clouds,-5.5569,-80.8222,Hospedaje Claritza
270,Santarem,BR,78.22,overcast clouds,-2.4431,-54.7083,Prático Hotel
271,San Policarpo,PH,80.04,light rain,12.1791,125.5072,RJV hôtel
274,Yamoussoukro,CI,67.68,clear sky,6.8206,-5.2767,Hôtel le Dauphin
275,Katsina,NG,60.37,clear sky,12.9894,7.6006,Fadama view Hotel
278,Rhyl,GB,55.56,overcast clouds,53.3196,-3.4886,Imperial Hotel
280,Porto Novo,BJ,74.35,broken clouds,6.4965,2.6036,Hôtel 6500 CFA
282,Sisophon,KH,70.84,overcast clouds,13.5859,102.9737,Rathana Guesthouse
284,Bella Vista,US,47.3,clear sky,36.4295,-94.2316,21c Museum Hotel Bentonville
290,Feijo,BR,71.74,few clouds,-8.1642,-70.3536,Hotel JOAFRAN
291,Kerman,IR,39.13,few clouds,30.2832,57.0788,حافظ
292,Rumonge,BI,71.55,broken clouds,-3.9736,29.4386,FREEDOM SNAK BAR
293,Mayo,US,66.61,clear sky,38.8876,-76.5119,The Westin
294,Brae,GB,43.7,light rain,60.3964,-1.353,Brae Hotel
301,Abha,SA,52.05,clear sky,18.2164,42.5053,SAHAB
302,Colonia,DE,50.88,light rain,50.9333,6.95,Wasserturm Hotel Cologne
304,Kahului,US,75.22,broken clouds,20.8947,-156.47,Maui Seaside Hotel
306,Lubango,AO,57.88,overcast clouds,-14.9172,13.4925,Novo Hotel
308,Portland,US,44.04,light rain,45.5234,-122.6762,the Hoxton
310,Timaru,NZ,70.07,light rain,-44.4,171.25,The Grosvenor Hotel
312,Saldanha,ZA,63.09,overcast clouds,-33.0117,17.9442,Hoedjesbaai
315,Den Helder,NL,50.02,broken clouds,52.9599,4.7593,Forest Hotel
316,Rawson,AR,67.17,clear sky,-43.3002,-65.1023,Hotel Deportivo
320,San Quintin,MX,58.93,overcast clouds,30.4833,-115.95,Jardines Hotel
322,Pahrump,US,49.84,overcast clouds,36.2083,-115.9839,Holiday Inn Express & Suites
323,Achutupo,PA,78.33,scattered clouds,9.2,-77.9833,Akwadup Lodge
324,Likasi,CD,60.31,overcast clouds,-10.9814,26.7333,Park Side
325,Sabzevar,IR,38.48,clear sky,36.2126,57.6819,مامورسرا مخابرات سبزوار
326,Fortuna,US,52.66,overcast clouds,40.5982,-124.1573,Comfort Inn & Suites Redwood Country
328,Kourou,GF,73.45,overcast clouds,5.1552,-52.6478,SCI Horizon
330,Kozuchow,PL,39.6,overcast clouds,51.7456,15.5949,Orzechowka Motel
333,Ribeira Grande,PT,62.78,overcast clouds,38.5167,-28.7,Hospedaria JSF - 3 Estrelas
340,Elizabeth City,US,66.06,overcast clouds,36.2946,-76.2511,Quality Inn
344,Durban,ZA,72.01,clear sky,-29.8579,31.0292,Tudor
346,Trento,IT,53.65,broken clouds,46.0679,11.1211,Albergo Venezia
349,Sao Filipe,CV,74.8,broken clouds,14.8961,-24.4956,Bela Vista
351,Cavan,IE,50.65,overcast clouds,53.9908,-7.3606,Farnham Arms
353,Hervey Bay,AU,79.12,clear sky,-25.2986,152.8535,Hervey Bay Hotel
354,Taltal,CL,66.96,few clouds,-25.4,-70.4833,Hostería Taltal
355,Uryupinsk,RU,37.62,overcast clouds,50.8047,42.0138,"гостиница ""Урюпинск"""
356,Kendari,ID,86.27,light rain,-3.945,122.4989,City Hotel Kendari
361,Knysna,ZA,68.83,overcast clouds,-34.0363,23.0471,Graywood Hotel
363,Kavarna,BG,42.08,few clouds,43.4333,28.3333,Добротица
364,Lasa,IT,38.62,broken clouds,46.6166,10.7002,"Hotel ""Drei Kreuz"""
